Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,"Marketing, Advertising & PR",Account Supervisor,,76000,,USD,,,United States of America,Illinois,Chicago,8-10 years,5-7 years,College degree,Other or prefer not to answer,White
35-44,Transport or Logistics,Warehouse Manager,,49920,3000,USD,,,United States of America,Missouri,Saint Louis,11-20 years,11-20 years,High School,Man,White
25-34,"Marketing, Advertising & PR",Senior Channel Manager,Channel marketing manager,123000,18450,USD,,Bonus is based on my and company's performance. Will be between 15 and 22% of salary.,United States of America,Wisconsin,Milwaukee,5-7 years,5-7 years,College degree,Woman,White
35-44,Health care,"Assistant Director, Direct Marketing",I work in direct response fundraising,75000,3750,USD,,,United States of America,Massachusetts,Boston,11-20 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Vice President Infrastructure,,125000,0,USD,,,United States of America,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Recruitment or HR,Director of Human Resources,,101100,18000,USD,,,United States of America,Kentucky,Louisville,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Fleet Manager,,98000,8000,USD,,,United States of America,Colorado,Lakewood,8-10 years,8-10 years,College degree,Man,White
25-34,Education (Higher Education),Technical Editor,,63500,9683,USD,,Additional compensation is full match of mandatory 15.25% retirement contribution.,United States of America,Nevada,Reno,11-20 years,5-7 years,College degree,Woman,White
25-34,Government contracting,Analyst,Includes a foreign language requirement,112000,1000,USD,,,United States of America,Virginia,Reston,8-10 years,8-10 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Director of Customer Support,,60000,0,USD,,,United States of America,South Carolina,Greenville,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Computing or Tech,Full Stack Engineer,,85000,0,USD,,,United States of America,Massachusetts,Boston,1 year or less,1 year or less,College degree,Man,White
25-34,Law,Staff Attorney,,80000,0,USD,,,United States of America,Oregon,Portland,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
25-34,Insurance,Senior Development Project Manager,,96720,1500,USD,,,United States of America,Kansas,Overland Park,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,senior cyber security consultant,,104000,5000,USD,,,United States of America,Texas,Dallas,8-10 years,5-7 years,College degree,Man,White
25-34,"Accounting, Banking & Finance",Institutional Investor,,88000,5000,USD,,,United States of America,North Carolina,Raleigh,5-7 years,5-7 years,College degree,Woman,White
55-64,Insurance,Customer service,,34000,0,USD,,,United States of America,Montana,Libby,21-30 years,11-20 years,High School,Woman,White
25-34,Recruitment or HR,Operations Coordinator,,71000,2000,USD,,,United States of America,District of Columbia,DC,2-4 years,1 year or less,College degree,Woman,White
25-34,Computing or Tech,Business Manager,,151000,20000,USD,,,United States of America,New York,New York,5-7 years,2-4 years,College degree,Woman,Asian or Asian American
35-44,Nonprofits,senior manager,,98000,,USD,,,United States of America,North Carolina,Chapel Hill,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Payroll & Benefits Specialist,,66189,8000,USD,,,United States of America,Michigan,Grand Rapids,8-10 years,5-7 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Senior Editor,(Copy editor),90000,15000,USD,,Salaried/OT @ 1.5x base,United States of America,New York,New York,11-20 years,2-4 years,PhD,Woman,White
35-44,"Accounting, Banking & Finance",Managing Director,,400000,120000,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,managing editor,,96600,,USD,,,United States of America,Texas,Denton,11-20 years,8-10 years,PhD,Man,Native American or Alaska Native
25-34,Education (Primary/Secondary),"Library Media Specialist, K-12","school librarian/library teacher (middle school level, currently)",74155,,USD,,,United States of America,New York,Westchester,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Health care,Senior Research Associate II,,87000,8000,USD,,,United States of America,Washington,Seattle,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Education (Higher Education),Director of a Program,Not faculty; admin appointment; director of an academic program,66000,0,USD,,,United States of America,Indiana,Evansville,21-30 years,21-30 years,PhD,Woman,White
45-54,Transport or Logistics,Senior Devops Engineer,,180000,,USD,,,United States of America,California,Atascadero,21-30 years,8-10 years,College degree,Man,White
35-44,Computing or Tech,Director of Engineering,,190000,15000,USD,,,United States of America,North Carolina,Charlotte,21-30 years,21-30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Principal Engineer,,190000,25000,USD,,,United States of America,Pennsylvania,Philadelphia,21-30 years,21-30 years,Master's degree,Man,White
35-44,Government and Public Administration,Contract Negotiator,,130893,4000,USD,,,United States of America,Virginia,Fredericksburg,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Health care,Operations Manager,,50000,3000,USD,,"3000 is estimated bonuses, this year is low due to covid",United States of America,Texas,Abilene,5-7 years,2-4 years,College degree,Other or prefer not to answer,White
25-34,Engineering or Manufacturing,Process Controls Engineer,,75000,3000,USD,,,United States of America,Kansas,Sabetha,2-4 years,2-4 years,College degree,Woman,White
25-34,Law Enforcement & Security,Corporate Investigator,,68000,,USD,,,United States of America,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
25-34,Law,Director of Legal and Compliance,In-house counsel for a marketing tech business (non-law firm and have no law firm experience),130000,19500,USD,,"This was a 45% salary increase compared to the job I left a month ago that was JD-only, no law license required job at a great fortune 500 company. Just context for the huge variability that exists for in-house, legal related (but non law firm) jobs.",United States of America,Minnesota,Minneapolis,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Law,Legal Assistant,,43000,,USD,,,United States of America,North Carolina,Durham,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Staff Researcher,,195000,0,USD,,"20000 signing bonus, retirement matching",United States of America,California,Saint Helena,11-20 years,2-4 years,PhD,Man,White
35-44,Computing or Tech,Senior Systems Engineer,,80000,,USD,,,United States of America,Wisconsin,Marshfield,11-20 years,11-20 years,College degree,Man,White
25-34,Health care,Project Manager,,76000,5000,USD,,,United States of America,Oregon,Portland,8-10 years,2-4 years,College degree,Woman,White
45-54,Computing or Tech,Senior Director,,200000,50000,USD,,,United States of America,"California, Oregon",Portland,31-40 years,21-30 years,Some college,Man,White
25-34,Education (Higher Education),Financial Aid Counselor,,40050,,USD,,,United States of America,South Carolina,Clemson,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Operation research analyst,,135000,2000,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White"
45-54,"Accounting, Banking & Finance",Principal project manager,,125126,3000,USD,,,United States of America,Massachusetts,Boston,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Utilities & Telecommunications,Accountant,,54000,,USD,,Part Time-No Benefits,United States of America,Ohio,Akron,11-20 years,11-20 years,College degree,Woman,"Middle Eastern or Northern African, White"
35-44,Law,Partner,,350000,210000,USD,,,United States of America,District of Columbia,Washington D.C.,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Nonprofits,Digital Productions Coordinator,"I am the person at our nonprofit who does all the graphic design, video production, app building, and A/V work.",55100,0,USD,,,United States of America,New Hampshire,Concord,11-20 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,Backend,133000,,USD,,,United States of America,Colorado,Boulder,8-10 years,2-4 years,Master's degree,Man,White
35-44,Computing or Tech,Business Analyst,,85000,7000,USD,,,United States of America,Pennsylvania,Philadelphia,11-20 years,11-20 years,College degree,Woman,White
25-34,Health care,Registered Dietitian,,65000,,USD,,,United States of America,New York,Brooklyn,1 year or less,1 year or less,Master's degree,Woman,Black or African American
35-44,Education (Primary/Secondary),Teacher,,98000,500,USD,,,United States of America,New York,New York,11-20 years,11-20 years,Master's degree,Other or prefer not to answer,White
18-24,Recruitment or HR,Operations Manager,,45000,6000,USD,,,United States of America,Texas,Austin,2-4 years,2-4 years,College degree,Non-binary,White
25-34,Health care,Health Researcher,non-PhD,52000,200,USD,,,United States of America,Wisconsin,Madison,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Biotech/Pharma,Senior Scientist II,,122000,10000,USD,,,United States of America,Massachusetts,Cambridge,2-4 years,2-4 years,PhD,Woman,White
55-64,Nonprofits,Technology Instructor,,57117,0,USD,,,United States of America,New York,Poughkeepsie,31-40 years,11-20 years,Some college,Woman,White
45-54,Insurance,Domain Architect,"Information technology, cloud",155000,50000,USD,,,United States of America,Ohio,Cleveland,21-30 years,21-30 years,Master's degree,Man,White
25-34,Engineering or Manufacturing,Customer Service Representative,,43000,,USD,,,United States of America,Illinois,Northlake,11-20 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Engineering or Manufacturing,HR Director,,107000,7000,USD,,,United States of America,New York,Albany,21-30 years,11-20 years,College degree,Woman,White
25-34,Health care,Database Administrator,,72000,0,USD,,,United States of America,Indiana,Indianapolis,8-10 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Senior Research Analyst,,69000,0,USD,,,United States of America,Virginia,Arlington,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Education (Higher Education),Study Abroad Advisor,,51000,,USD,,,United States of America,Michigan,Ann Arbor,5-7 years,5-7 years,Master's degree,Woman,White
55-64,Education (Primary/Secondary),Middle School Principal,public charter school,60000,1000,USD,,,United States of America,Colorado,Fort Collins,31-40 years,31-40 years,Master's degree,Woman,White
25-34,Recruitment or HR,Human Resource Generalist,,50000,,USD,,,United States of America,Ohio,Columbus,8-10 years,5-7 years,High School,Woman,White
25-34,Business or Consulting,Business Analust,,86000,1500,USD,,,United States of America,Massachusetts,Boston,5-7 years,2-4 years,College degree,Woman,White
25-34,Media & Digital,Director,,160000,20000,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Senior UX Researcher,,125000,5000,USD,,,United States of America,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
45-54,Health care,Training admin,,37000,,USD,,,United States of America,Illinois,Chicago,8-10 years,2-4 years,College degree,Woman,White
25-34,Law,Associate,Partner Track Attorney,220000,82000,USD,,Bonus amount is conditional upon minimum hours met,United States of America,New York,New York,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
